User_ID,Book_ID,Book_Title,Recommendation_Score
100459,345387651,The Cider House Rules,10
100459,312195516,The Red Tent (Bestselling Backlist),10
100459,385335482,Confessions of a Shopaholic (Summer Display Opportunity),10
100459,059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),10
100459,067976402X,Snow Falling on Cedars,10
100846,64400557,Charlotte's Web (Trophy Newbery),10
100846,044021145X,The Firm,10
100846,440211727,A Time to Kill,10
100846,553279378,I Know Why the Caged Bird Sings,10
100846,446672211,Where the Heart Is (Oprah's Book Club (Paperback)),10
100906,804106304,The Joy Luck Club,10
100906,059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),10
100906,141000198,Bridget Jones's Diary,10
100906,380018179,The Thorn Birds,10
100906,385730586,Sisterhood of the Traveling Pants,10
101209,380018179,The Thorn Birds,10
101209,64400557,Charlotte's Web (Trophy Newbery),10
101209,345339681,The Hobbit : The Enchanting Prelude to The Lord of the Rings,10
101209,385335482,Confessions of a Shopaholic (Summer Display Opportunity),10
101209,385504209,The Da Vinci Code,10
101851,380018179,The Thorn Birds,10
101851,312980140,Seven Up (A Stephanie Plum Novel),10
101851,080411868X,"Welcome to the World, Baby Girl!",10
101851,312966091,Three To Get Deadly : A Stephanie Plum Novel (A Stephanie Plum Novel),10
101851,345351525,The Queen of the Damned (Vampire Chronicles (Paperback)),10
101876,60175400,The Poisonwood Bible,10
101876,60199652,Prodigal Summer,10
101876,312195516,The Red Tent (Bestselling Backlist),10
101876,380718340,Cruel & Unusual (Kay Scarpetta Mysteries (Paperback)),10
101876,038079487X,What Looks Like Crazy On An Ordinary Day,10
102702,380018179,The Thorn Birds,10
102702,590353403,Harry Potter and the Sorcerer's Stone (Book 1),10
102702,439064872,Harry Potter and the Chamber of Secrets (Book 2),10
102702,439136369,Harry Potter and the Prisoner of Azkaban (Book 3),10
102702,345351525,The Queen of the Damned (Vampire Chronicles (Paperback)),10
102967,038079487X,What Looks Like Crazy On An Ordinary Day,10
102967,446608955,A Walk to Remember,10
102967,446607657,When the Wind Blows,10
102967,345350499,The Mists of Avalon,10
102967,068484477X,STONES FROM THE RIVER,10
104636,671727796,The Color Purple,10
104636,60175400,The Poisonwood Bible,10
104636,60199652,Prodigal Summer,10
104636,312195516,The Red Tent (Bestselling Backlist),10
104636,316569321,White Oleander : A Novel,10
104665,679781587,,10
104665,440215625,Dragonfly in Amber,10
104665,842329129,Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),10
104665,380018179,The Thorn Birds,10
104665,449212602,The Handmaid's Tale,10
105374,60928336,Divine Secrets of the Ya-Ya Sisterhood: A Novel,10
105374,671041789,The Green Mile,10
105374,671727796,The Color Purple,10
105374,60976845,Little Altars Everywhere: A Novel,10
105374,044651652X,The Bridges of Madison County,10
105517,60392452,Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,10
105517,312305060,The Hours: A Novel,10
105517,044021145X,The Firm,10
105517,440211727,A Time to Kill,10
105517,446310786,To Kill a Mockingbird,10
105979,345465083,Seabiscuit,10
